timestamp,market,outcome,entry_price,size_usdc,tokens,market_end_ts,payout_price,pnl_usdc,settled_at,result
2026-03-18T04:11:58.812501+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.5068023866327659,5.95685,11.75379232046986,1773807300,1.0,11.632630364894274,2026-03-18T04:15:27.341218+00:00,WIN
2026-03-18T04:11:59.313507+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.5051372297939235,5.95685,11.792538044424413,1773807300,1.0,11.632630364894274,2026-03-18T04:15:27.341218+00:00,WIN
2026-03-18T04:11:59.814310+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.49898750334210273,5.82315,11.669931533350816,1773807300,0.0,-11.6463,2026-03-18T04:15:27.342333+00:00,LOSS
2026-03-18T04:12:00.329980+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.4970847069195138,5.82315,11.714603002145596,1773807300,0.0,-11.6463,2026-03-18T04:15:27.342333+00:00,LOSS
2026-03-18T04:12:00.946799+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5109675137195576,5.95685,11.657981848273415,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:12:01.453363+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5104828233353762,5.95685,11.669050803863147,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:12:01.962350+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.503005198852157,5.82315,11.576719312818748,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:12:02.463097+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.5050797837689018,5.82315,11.529168632622147,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:12:03.079922+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.47128629456827087,5.4889,11.646636159933724,1773807300,1.0,12.226002045909167,2026-03-18T04:15:28.491318+00:00,WIN
2026-03-18T04:12:03.582957+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.4749347767570551,5.4889,11.557165885975444,1773807300,1.0,12.226002045909167,2026-03-18T04:15:28.491318+00:00,WIN
2026-03-18T04:12:04.095717+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.5346192327472842,6.2911,11.767440478471935,1773807300,0.0,-12.5822,2026-03-18T04:15:28.492401+00:00,LOSS
2026-03-18T04:12:04.597525+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.5330648278035612,6.2911,11.801754067927968,1773807300,0.0,-12.5822,2026-03-18T04:15:28.492401+00:00,LOSS
2026-03-18T04:12:05.214696+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5155797092865195,6.09055,11.813013371741015,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:12:05.730122+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5178284571588816,6.09055,11.761713586418988,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:12:06.231651+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.4883187556864847,5.68945,11.651098659935146,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:12:06.746945+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.4870062743954489,5.68945,11.682498356027686,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:12:07.377098+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.4536220169721375,5.2215,11.51068467719616,1773807300,0.0,-10.443,2026-03-18T04:15:29.942695+00:00,LOSS
2026-03-18T04:12:07.880822+00:00,"March 18, 12:10AM-12:15AM ET",Up,0.45103451382595117,5.2215,11.576719386079874,1773807300,0.0,-10.443,2026-03-18T04:15:29.942695+00:00,LOSS
2026-03-18T04:12:08.392837+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.5538772414199057,6.5585,11.841071467725946,1773807300,1.0,10.621220346388299,2026-03-18T04:15:29.943809+00:00,WIN
2026-03-18T04:12:08.897004+00:00,"March 18, 12:10AM-12:15AM ET",Down,0.551266531745495,6.5585,11.897148878662353,1773807300,1.0,10.621220346388299,2026-03-18T04:15:29.943809+00:00,WIN
2026-03-18T04:12:09.526328+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.49758937016982663,5.7563,11.568374135555553,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:12:10.030381+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.49451214355042333,5.7563,11.640361263268057,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:12:10.533155+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.5166564712880019,6.0237,11.659004260574111,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:12:11.045975+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.510159486612554,6.0237,11.807484047777324,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:15:13.817860+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5140394554491778,5.95685,11.588312797496812,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:15:14.320249+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5050388863817603,5.95685,11.794834339740724,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:15:14.835656+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.497992998063812,5.82315,11.69323669738391,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:15:15.336641+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.4987637759685809,5.82315,11.67516624215874,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:15:15.952261+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5067655855185054,5.95685,11.75464587617005,1773807900,,,,OPEN
2026-03-18T04:15:16.453629+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5066320598308437,5.95685,11.757743878247453,1773807900,,,,OPEN
2026-03-18T04:15:16.968997+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.49891670587442455,5.82315,11.67158752440265,1773807900,,,,OPEN
2026-03-18T04:15:17.482824+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5006037733204317,5.82315,11.632253511346702,1773807900,,,,OPEN
2026-03-18T04:15:18.103494+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.4858727627921358,5.68945,11.709752914126693,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:15:18.616993+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.49190176788076584,5.68945,11.566232063998376,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:15:19.118089+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.5263355358162057,6.09055,11.571610855716184,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:15:19.620498+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.5247729649732432,6.09055,11.606066635522167,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:15:20.237175+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.4900846125366038,5.68945,11.609117802234735,1773807900,,,,OPEN
2026-03-18T04:15:20.752429+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.485906124334314,5.68945,11.708948941103557,1773807900,,,,OPEN
2026-03-18T04:15:21.268098+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5208876328531564,6.09055,11.692636983218584,1773807900,,,,OPEN
2026-03-18T04:15:21.769164+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5168564262441712,6.09055,11.783833364050558,1773807900,,,,OPEN
2026-03-18T04:15:22.399906+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5059241261887238,5.95685,11.774196350102365,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:15:22.902502+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5086531769558128,5.95685,11.71102485912022,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:15:23.416147+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.5033577107227786,5.82315,11.568611895581087,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:15:23.920292+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.4986938429219585,5.82315,11.67680347902606,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:15:24.549344+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5119729586761842,6.0237,11.765660466864436,1773807900,,,,OPEN
2026-03-18T04:15:25.054244+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5104896266882516,6.0237,11.799847999024246,1773807900,,,,OPEN
2026-03-18T04:15:25.566541+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4965092706272904,5.7563,11.593539819966471,1773807900,,,,OPEN
2026-03-18T04:15:26.070916+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4928685139450564,5.7563,11.679179815981707,1773807900,,,,OPEN
2026-03-18T04:18:26.806774+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5174469909782492,6.09055,11.770384418480493,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:18:27.309895+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5167097693307166,6.09055,11.78717795076521,1773807600,0.0,-36.0085,2026-03-18T04:21:43.655056+00:00,LOSS
2026-03-18T04:18:27.825131+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.4880442860166476,5.68945,11.657651084159866,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:18:28.326684+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.485454894047295,5.68945,11.71983240825194,1773807600,1.0,35.18027437739534,2026-03-18T04:21:43.656036+00:00,WIN
2026-03-18T04:18:28.942134+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5073638405016174,5.95685,11.740785457060987,1773807900,,,,OPEN
2026-03-18T04:18:29.456009+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5115896410568369,5.95685,11.643804959956572,1773807900,,,,OPEN
2026-03-18T04:18:29.958814+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4954251434358935,5.82315,11.75384430353099,1773807900,,,,OPEN
2026-03-18T04:18:30.464031+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4989796799315702,5.82315,11.670114504058729,1773807900,,,,OPEN
2026-03-18T04:18:31.075065+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.5054021856207594,5.95685,11.786355835963606,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:18:31.590254+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.506865859272565,5.95685,11.752320443418796,1773807600,0.0,-35.4737,2026-03-18T04:21:45.007112+00:00,LOSS
2026-03-18T04:18:32.092241+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.49854006428341385,5.82315,11.68040528170994,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:18:32.594104+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.49759315047658237,5.82315,11.702632953091761,1773807600,1.0,34.68801274200288,2026-03-18T04:21:45.008156+00:00,WIN
2026-03-18T04:18:33.209705+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.48597294039709765,5.68945,11.707339086310121,1773807900,,,,OPEN
2026-03-18T04:18:33.711438+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.4877896187918153,5.68945,11.663737358929344,1773807900,,,,OPEN
2026-03-18T04:18:34.225196+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5190139231559526,6.09055,11.734848966989889,1773807900,,,,OPEN
2026-03-18T04:18:34.726538+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5151262585533449,6.09055,11.823412025440907,1773807900,,,,OPEN
2026-03-18T04:18:35.357071+00:00,"March 18, 12:15AM-12:20AM ET",Up,0.08527596638074578,1.0,11.726633451858334,1773807600,0.0,-24.4263,2026-03-18T04:21:42.442387+00:00,LOSS
2026-03-18T04:18:35.859040+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.9200995240001595,11.43855,12.431861664562732,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:18:36.360057+00:00,"March 18, 12:15AM-12:20AM ET",Down,0.9163935106754432,11.43855,12.4821377134906,1773807600,1.0,25.055103061011913,2026-03-18T04:21:42.443458+00:00,WIN
2026-03-18T04:18:36.975268+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5133165468712844,6.0237,11.734864260104322,1773807900,,,,OPEN
2026-03-18T04:18:37.489771+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5111549461338679,6.0237,11.784489312996758,1773807900,,,,OPEN
2026-03-18T04:18:37.992486+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4932252790869833,5.7563,11.670731902986752,1773807900,,,,OPEN
2026-03-18T04:18:38.506099+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.49041104170207117,5.7563,11.737704722188944,1773807900,,,,OPEN
2026-03-18T04:21:28.646353+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5112274237466119,5.95685,11.652054884583993,1773807900,,,,OPEN
2026-03-18T04:21:29.148298+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5064573357743343,5.95685,11.761800213422589,1773807900,,,,OPEN
2026-03-18T04:21:29.649360+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.50220073624535,5.82315,11.595263765513682,1773807900,,,,OPEN
2026-03-18T04:21:30.165641+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.49885548440265093,5.82315,11.673019906702775,1773807900,,,,OPEN
2026-03-18T04:21:30.783734+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5157629281088555,5.95685,11.549589308099252,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:21:31.297399+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5087046310440674,5.95685,11.709840320844215,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:21:31.799976+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5016179152823664,5.82315,11.60873609691967,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:21:32.314652+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49855767476718954,5.82315,11.679992696370032,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:21:32.931803+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.46772962833952897,5.42205,11.592273979411214,1773807900,,,,OPEN
2026-03-18T04:21:33.434230+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.465270192743292,5.42205,11.653551172128406,1773807900,,,,OPEN
2026-03-18T04:21:33.947490+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.539166150366949,6.35795,11.792190581090573,1773807900,,,,OPEN
2026-03-18T04:21:34.462251+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5380013377016869,6.35795,11.817721545379095,1773807900,,,,OPEN
2026-03-18T04:21:35.081869+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5148013249114397,6.0237,11.701018836803199,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:21:35.584524+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5142462113134588,6.0237,11.713649741073645,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:21:36.099352+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.492515109435655,5.7563,11.687560218397799,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:21:36.600128+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.4984749462939011,5.7563,11.547822097775166,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:21:37.216563+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5362538787763756,6.35795,11.856231258424783,1773807900,,,,OPEN
2026-03-18T04:21:37.730901+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5361098898886977,6.35795,11.859415615929004,1773807900,,,,OPEN
